State,Percentile,Confirmed Deaths by 2020/09/05,Confirmed Deaths by 2020/09/12,Confirmed Deaths by 2020/09/19,Confirmed Deaths by 2020/09/26,Confirmed Deaths by 2020/10/03,Confirmed Deaths by 2020/10/10,Confirmed Deaths by 2020/10/17,Confirmed Deaths by 2020/10/24,Notes
California,5,13453,13976,14434,14799,15094,15333,15527,15683,
,25,13634,14335,14973,15537,16045,16506,16929,17319,
,50,13764,14594,15364,16071,16731,17351,17938,18496,
,75,13963,14974,15967,16950,17931,18913,19900,20897,
,95,14238,15501,16805,18170,19599,21083,22623,24228,
Florida,5,11554,11956,12315,12595,12814,12988,13127,13239,
,25,11750,12322,12826,13260,13641,13983,14294,14577,
,50,11889,12583,13191,13733,14228,14689,15121,15525,
,75,12010,12869,13647,14355,15042,15715,16369,17008,
,95,12175,13261,14270,15205,16154,17114,18067,19025,
Georgia,5,5874,6154,6320,6493,6638,6760,6862,6947,
,25,5965,6363,6707,7055,7387,7703,8006,8346,
,50,6030,6512,6986,7460,7924,8378,8824,9350,
,75,6110,6652,7182,7723,8279,8845,9419,10087,
,95,6220,6843,7450,8084,8769,9489,10241,11106,
Illinois,5,8278,8347,8407,8461,8511,8559,8604,8646,
,25,8322,8432,8538,8640,8740,8840,8942,9047,
,50,8354,8495,8633,8771,8908,9046,9189,9339,
,75,8397,8580,8761,8953,9158,9382,9629,9912,
,95,8457,8696,8937,9202,9501,9842,10229,10689,
New York,5,32963,32992,33018,33041,33060,33077,33091,33104,
,25,32983,33028,33070,33110,33147,33183,33217,33251,
,50,32998,33055,33109,33160,33211,33261,33310,33359,
,75,33050,33139,33229,33324,33424,33528,33641,33771,
,95,33121,33256,33395,33548,33716,33893,34094,34332,
Ohio,5,4248,4330,4403,4467,4525,4576,4621,4661,
,25,4288,4403,4515,4624,4731,4836,4940,5043,
,50,4317,4457,4597,4738,4880,5024,5170,5318,
,75,4365,4538,4710,4885,5063,5244,5430,5623,
,95,4431,4649,4864,5086,5312,5544,5783,6036,
Pennsylvania,5,7696,7737,7773,7803,7829,7851,7870,7888,
,25,7734,7809,7879,7946,8010,8074,8137,8200,
,50,7761,7830,7930,8026,8143,8237,8331,8426,
,75,7794,7926,8065,8213,8375,8540,8719,8913,
,95,7839,8016,8214,8438,8692,8953,9247,9571,
Texas,5,13300,13734,14420,14838,15182,15467,15702,15896,
,25,13430,14187,14846,15423,15933,16388,16805,17191,
,50,13525,14161,14969,15849,16479,17057,17605,18128,
,75,13748,14828,15834,16800,17753,18705,19673,20664,
,95,14059,15442,16778,18121,19521,20989,22529,24154,